id,idade,genero,regiao,nivel_de_renda,nivel_de_educacao,funcao_diaria,H_uso_do_dispo_p_dia,desbloqueios_do_celular,notificacoes_p_dia,minutos_de_midias_sociais,minutos_de_estudo,dias_de_ativ_fisica,horas_de_sono,qualidade_do_sono,pontuacao_de_ansiedade,pontuacao_de_depressao,nivel_de_estresse,pontuacao_de_felicidade,pontuacao_de_foco,indicador_de_alto_risco,tipo_de_dispositivo,pontuacao_de_produtividade,pontuacao_de_dependencia_digital
1,40,Feminino,Asia,Alto,Ensino_medio,Meio período/Turno,3.54,45,561,98,34,7,9.12,3.35,9.93,5.0,6.6,8.0,23.0,0,Android,70.0,25.7
2,27,Masculino,Africa,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,5.65,100,393,174,102,2,8.84,2.91,4.0,4.0,4.12,8.1,35.0,0,Laptop,64.0,30.1
3,31,Masculino,America_do_norte,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,8.86,181,231,595,140,1,6.49,2.89,4.0,8.0,1.43,7.6,15.0,0,Android,65.3,40.6
4,41,Feminino,Oriente_medio,Baixo,Mestrado,Cuidador_Aux_servicos_domiciliares,4.05,94,268,18,121,4,7.6,3.1,7.1,9.0,5.0,7.8,28.0,1,Tablet,80.0,36.7
5,26,Feminino,Europa,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,13.07,199,91,147,60,1,5.2,2.78,7.02,15.0,9.44,4.2,70.0,1,Android,65.3,48.4
6,37,Feminino,Oriente_medio,Medio_alto,Bacharelado,Cuidador_Aux_servicos_domiciliares,4.59,73,198,9,85,0,10.95,2.8,7.96,4.0,1.32,10.0,64.0,0,Android,63.0,21.2
7,18,Feminino,Europa,Medio_baixo,Ensino_medio,Desempregado_a_procura_de_emprego,4.95,119,553,61,188,4,8.42,3.06,7.51,1.0,9.92,7.7,15.0,0,iPhone,81.0,32.8
8,33,Feminino,Europa,Medio_alto,Mestrado,Funcionario_em_tmp_integral,6.55,82,184,48,155,3,6.3,2.95,4.65,8.0,1.0,8.6,70.0,0,Tablet,73.0,25.7
9,43,Feminino,America_do_sul,Medio_baixo,Doutorado,Funcionario_em_tmp_integral,8.04,155,309,16,116,4,9.7,3.07,7.62,18.0,2.86,8.3,53.0,0,Android,60.0,39.9
10,41,Feminino,Asia,Baixo,Ensino_medio,Funcionario_em_tmp_integral,2.33,38,110,249,155,5,9.72,3.19,5.58,0.0,1.98,9.2,73.0,0,iPhone,70.0,10.8
11,47,Feminino,America_do_sul,Medio_baixo,Ensino_medio,Cuidador_Aux_servicos_domiciliares,7.89,129,212,31,37,4,6.86,3.08,6.8,12.0,8.89,4.1,59.0,0,iPhone,60.0,35.2
12,13,Feminino,Asia,Baixo,Ensino_medio,Estudante,4.59,139,474,39,78,7,7.32,3.38,5.0,2.0,8.76,2.1,27.0,0,Tablet,60.0,31.8
13,26,Masculino,Africa,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,8.54,110,424,82,0,4,5.92,3.1,4.0,9.0,6.83,8.8,27.0,0,Laptop,67.0,38.4
14,21,Feminino,Europa,Baixo,Bacharelado,Estudante,3.99,72,211,178,102,4,6.05,3.08,6.24,0.0,2.84,9.9,51.0,0,Laptop,46.0,19.1
15,24,Feminino,Africa,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,8.9,92,185,161,201,1,5.78,2.76,7.2,9.0,1.22,8.7,55.0,0,Android,48.0,32.0
16,24,Feminino,Africa,Baixo,Bacharelado,Funcionario_em_tmp_integral,9.74,180,1195,240,88,7,5.2,3.28,8.21,17.0,6.6,6.42,0.0,0,Android,59.0,66.9
17,24,Feminino,Africa,Medio_alto,Bacharelado,Estudante,5.0,114,155,19,102,3,9.62,2.98,5.59,6.0,1.0,9.6,56.0,0,Tablet,55.0,23.7
18,25,Masculino,America_do_norte,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,5.29,119,226,125,96,2,6.27,2.93,5.0,3.0,2.18,8.8,43.0,1,Laptop,68.0,26.3
19,19,Masculino,Africa,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,6.89,184,263,41,119,5,8.22,3.16,4.0,10.0,6.79,5.7,42.0,1,iPhone,56.0,36.3
20,15,Masculino,Europa,Baixo,Ensino_medio,Estudante,12.66,203,703,176,128,6,5.2,3.22,4.0,18.0,9.71,2.7,0.0,1,Tablet,51.0,62.7
21,21,Feminino,Africa,Medio_baixo,Bacharelado,Meio período/Turno,6.89,204,499,92,111,5,6.05,3.14,7.48,3.0,8.8,9.4,30.0,1,Laptop,80.0,43.53
22,27,Masculino,Europa,Medio_alto,Ensino_medio,Estudante,7.3,141,525,72,64,2,8.25,2.93,4.0,10.0,1.0,8.3,35.0,0,iPhone,63.0,40.9
23,25,Feminino,Asia,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,4.63,112,51,173,168,2,6.85,2.85,4.64,3.0,1.07,8.5,62.0,0,Android,66.0,19.7
24,22,Feminino,Africa,Baixo,Bacharelado,Meio período/Turno,6.24,128,357,449,80,4,7.98,3.14,7.92,6.0,3.01,7.6,19.0,0,Tablet,51.0,32.9
25,32,Feminino,America_do_norte,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,3.29,93,121,417,293,5,8.03,3.03,7.28,0.0,1.0,9.2,39.0,0,Tablet,60.0,17.6
26,23,Feminino,Oriente_medio,Alto,Mestrado,Meio período/Turno,5.1,98,1203,242,79,3,6.08,3.04,6.89,2.0,10.0,0.4,0.0,0,Android,66.0,48.7
27,46,Feminino,Europa,Medio_alto,Bacharelado,Desempregado_a_procura_de_emprego,6.28,145,558,50,16,4,7.02,3.05,7.3,6.0,1.0,8.3,18.0,1,Laptop,53.0,41.6
28,44,Feminino,America_do_norte,Medio_baixo,Bacharelado,Cuidador_Aux_servicos_domiciliares,6.5,107,304,20,301,0,6.37,2.78,5.82,8.0,7.3,8.9,41.6,0,iPhone,69.0,31.9
29,50,Masculino,Asia,Baixo,Bacharelado,Cuidador_Aux_servicos_domiciliares,7.88,183,594,12,147,1,7.74,2.83,4.0,12.0,4.31,3.0,13.0,1,iPhone,59.0,49.8
30,35,Feminino,Africa,Baixo,Mestrado,Cuidador_Aux_servicos_domiciliares,3.01,47,356,119,0,5,9.43,3.15,7.04,0.0,3.94,8.2,38.0,0,Laptop,62.0,19.1
31,24,Masculino,America_do_sul,Medio_baixo,Bacharelado,Meio período/Turno,6.95,133,103,94,133,5,8.18,3.16,4.0,13.0,1.0,8.0,67.0,1,Tablet,59.0,28.5
32,18,Masculino,Europa,Baixo,Ensino_medio,Funcionario_em_tmp_integral,3.39,93,309,112,137,5,8.34,3.17,4.0,4.0,6.86,6.5,62.0,0,Laptop,65.3,20.6
33,26,Feminino,Asia,Medio_alto,Ensino_medio,Funcionario_em_tmp_integral,4.19,108,141,86,0,4,8.66,3.04,6.46,8.0,1.0,9.7,78.0,0,Laptop,65.0,20.8
34,45,Masculino,America_do_norte,Baixo,Mestrado,Meio período/Turno,0.98,19,85,3,118,1,9.24,2.86,4.0,1.0,1.0,2.0,86.0,0,Laptop,54.0,6.2
35,18,Feminino,Oriente_medio,Baixo,Bacharelado,Estudante,6.46,141,123,132,0,2,6.76,2.84,4.97,13.0,5.1,8.6,66.0,0,iPhone,73.0,27.5
36,22,Feminino,Asia,Baixo,Bacharelado,Funcionario_em_tmp_integral,3.75,113,456,78,74,4,6.68,3.05,5.48,4.0,2.86,9.9,27.0,1,iPhone,53.0,28.2
37,32,Masculino,Asia,Baixo,Doutorado,Desempregado_a_procura_de_emprego,5.96,101,772,115,47,4,8.53,3.1,4.0,4.0,5.03,9.0,9.0,0,Android,67.0,41.0
38,20,Masculino,America_do_norte,Medio_baixo,Ensino_medio,Funcionario_em_tmp_integral,2.19,61,480,71,103,4,6.24,3.1,5.0,0.0,1.9,8.7,42.0,0,iPhone,45.0,20.7
39,41,Masculino,Asia,Alto,Mestrado,Funcionario_em_tmp_integral,4.54,58,172,34,187,5,7.54,3.16,4.0,2.0,5.89,8.2,61.0,0,Android,52.0,19.9
40,13,Masculino,Africa,Baixo,Ensino_medio,Estudante,6.3,152,361,148,233,7,8.01,3.27,4.0,0.0,4.65,9.6,33.0,0,iPhone,67.0,33.9
